Name,ArrowtoothFlounder,,,,,,,,,,,,,,,,,,,
Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
Catch,6.7272,4.8192,5.5279,6.1572,6.51,9.3936,6.164,5.8648,7.3327,16.6058,5.3423,5.1667,4.5003,2.9351,1.8063,5.5341,6.2095,8.5062,10.6789,
Effort,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Abundance index,NA,NA,NA,NA,NA,NA,NA,7.371,4.52,4.879,NA,5.604,NA,6.31,NA,4.046,NA,4.277,NA,
Duration t,19,,,,,,,,,,,,,,,,,,,
Average catch over time t,5.286714286,,,,,,,,,,,,,,,,,,,
Depletion over time t,NA,,,,,,,,,,,,,,,,,,,
M,0.33,,,,,,,,,,,,,,,,,,,
FMSY/M,NA,,,,,,,,,,,,,,,,,,,
BMSY/B0,NA,,,,,,,,,,,,,,,,,,,
MSY,NA,,,,,,,,,,,,,,,,,,,
BMSY,NA,,,,,,,,,,,,,,,,,,,
Length at 50% maturity,30,,,,,,,,,,,,,,,,,,,
Length at 95% maturity,40,,,,,,,,,,,,,,,,,,,
Length at first capture,30,,,,,,,,,,,,,,,,,,,
Length at full selection,NA,,,,,,,,,,,,,,,,,,,
CAA 1996,0,0,0,0,0,0,0,0.057143,0.257143,0.285714,0.114286,0.057143,0.114286,0.028571,0.028571,0,0.028571,0.028571,0,0
CAA 1997,0,0,0,0,0,0,0.083811,0.280354,0.159684,0.131498,0.134389,0.134389,0.075873,0,0,0,0,0,0,0
CAA 1998,0,0,0.001683,0.008009,0.008595,0.01949,0.050713,0.051834,0.050877,0.051398,0.245092,0.223495,0.052243,0.129534,0,0.009246,0.003472,0.048184,0.003472,0.042662
CAA 1999,0,0,0,0,0,0.016178,0.075738,0.069533,0.118418,0.225128,0.145271,0.064713,0.113598,0.085711,0.026502,0.016529,0.026502,0.016178,0,0
